+-----------------------------------------------------------------------+
| TRACE AXES      type machine: ROBOMAC          no: 513583             |
+-----------------------------------------------------------------------+

Mon Mar 20 14:20:28 2017

Trigger time : 51781877

;Time;interpol;;Eana14;;Eana15;;mode 0;m_pos 0;des_pos 0;des_speed 0;x1r 0;r_speed 0;couple 0;pos_mot 0;mot_speed 0;pos_ext 0;ext_speed 0;
T;51781877;1;;993;;995;;21;-1198145133;5169996;0.00;5170000;0.00;-3;5209217;0.00;6098935;0.00;
;51781878;1;;993;;995;;21;-1198145133;5169975;-21.00;5170000;0.00;-3;5209219;2.00;6098935;0.00;
;51781879;1;;993;;995;;21;-1198145133;5169919;-56.00;5170000;0.00;-3;5209219;0.00;6098935;0.00;
;51781880;1;;993;;995;;21;-1198145133;5169810;-109.00;5170000;0.00;-3;5209218;-1.00;6098935;0.00;
;51781881;1;;994;;995;;21;-1198145133;5169632;-178.00;5170000;0.00;-3;5209215;-3.00;6098935;0.00;
;51781882;1;;993;;995;;21;-1198145133;5169371;-261.00;5170000;0.00;-4;5209199;-16.00;6098935;0.00;
;51781883;1;;993;;995;;21;-1198145133;5169010;-361.00;5170000;0.00;-7;5209150;-49.00;6098935;0.00;
;51781884;1;;993;;995;;21;-1198145133;5168536;-474.00;5169600;-400.00;-10;5209034;-116.00;6098933;-2.00;
;51781885;1;;993;;994;;21;-1198145133;5167934;-602.00;5169600;0.00;-14;5208829;-205.00;6098933;0.00;
;51781886;1;;993;;995;;21;-1198145133;5167193;-741.00;5169400;-200.00;-16;5208513;-316.00;6098932;-1.00;
;51781887;1;;994;;994;;21;-1198145133;5166299;-894.00;5169000;-400.00;-19;5208071;-442.00;6098930;-2.00;
;51781888;1;;993;;994;;21;-1198145133;5165240;-1059.00;5168600;-400.00;-20;5207493;-578.00;6098928;-2.00;
;51781889;1;;993;;995;;21;-1198145133;5164006;-1234.00;5168200;-400.00;-23;5206773;-720.00;6098926;-2.00;
;51781890;1;;993;;995;;21;-1198145133;5162585;-1421.00;5167400;-800.00;-25;5205882;-891.00;6098922;-4.00;
;51781891;1;;993;;995;;21;-1198145133;5160968;-1617.00;5166400;-1000.00;-27;5204811;-1071.00;6098917;-5.00;
;51781892;1;;993;;995;;21;-1198145133;5159146;-1822.00;5165200;-1200.00;-29;5203545;-1266.00;6098911;-6.00;
;51781893;1;;993;;995;;21;-1198145133;5157110;-2036.00;5163800;-1400.00;-31;5202060;-1485.00;6098904;-7.00;
;51781894;1;;993;;995;;21;-1198145133;5154851;-2259.00;5162000;-1800.00;-31;5200346;-1714.00;6098895;-9.00;
;51781895;1;;993;;995;;21;-1198145133;5152363;-2488.00;5160200;-1800.00;-31;5198416;-1930.00;6098886;-9.00;
;51781896;1;;995;;995;;21;-1198145133;5149638;-2725.00;5158000;-2200.00;-30;5196281;-2135.00;6098875;-11.00;
;51781897;1;;994;;995;;21;-1198145133;5146671;-2967.00;5155600;-2400.00;-31;5193936;-2345.00;6098863;-12.00;
;51781898;1;;995;;995;;21;-1198145133;5143455;-3216.00;5153000;-2600.00;-31;5191371;-2565.00;6098850;-13.00;
;51781899;1;;995;;995;;21;-1198145133;5139987;-3468.00;5150400;-2600.00;-32;5188572;-2799.00;6098837;-13.00;
;51781900;1;;995;;995;;21;-1198145133;5136261;-3726.00;5147400;-3000.00;-33;5185533;-3039.00;6098822;-15.00;
