+-----------------------------------------------------------------------+
| TRACE AXES      type machine: ROBOMAC          no: 513583             |
+-----------------------------------------------------------------------+

Wed Mar 22 17:55:35 2017

Trigger time : 64735157

;Time;interpol;;Eana14;;Eana15;;mode 0;m_pos 0;des_pos 0;des_speed 0;x1r 0;r_speed 0;couple 0;pos_mot 0;mot_speed 0;pos_ext 0;ext_speed 0;
T;64735157;1;;993;;997;;21;-432778676;5005199;0.00;5005400;0.00;-1;5063173;0.00;2211510;0.00;
;64735158;1;;992;;997;;21;-432778676;5005195;-4.00;5005400;0.00;-3;5063164;-9.00;2211510;0.00;
;64735159;1;;992;;997;;21;-432778676;5005183;-12.00;5005400;0.00;-2;5063136;-28.00;2211510;0.00;
;64735160;1;;992;;997;;21;-432778676;5005162;-21.00;5005400;0.00;-1;5063109;-27.00;2211510;0.00;
;64735161;1;;996;;997;;21;-432778676;5005126;-36.00;5005400;0.00;-1;5063091;-18.00;2211510;0.00;
;64735162;1;;996;;997;;21;-432778676;5005074;-52.00;5005000;-400.00;-1;5063082;-9.00;2211508;-2.00;
;64735163;1;;995;;1000;;21;-432778676;5005002;-72.00;5005000;0.00;-2;5063073;-9.00;2211508;0.00;
;64735164;1;;995;;1000;;21;-432778676;5004907;-95.00;5005000;0.00;-3;5063049;-24.00;2211508;0.00;
;64735165;1;;995;;999;;21;-432778676;5004786;-121.00;5005000;0.00;-4;5063005;-44.00;2211508;0.00;
;64735166;1;;992;;1001;;21;-432778676;5004638;-148.00;5005000;0.00;-2;5062949;-56.00;2211508;0.00;
;64735167;1;;992;;1001;;21;-432778676;5004459;-179.00;5005000;0.00;-4;5062894;-55.00;2211508;0.00;
;64735168;1;;992;;999;;21;-432778676;5004248;-211.00;5005000;0.00;-5;5062813;-81.00;2211508;0.00;
;64735169;1;;993;;999;;21;-432778676;5004001;-247.00;5005000;0.00;-7;5062696;-117.00;2211508;0.00;
;64735170;1;;993;;997;;21;-432778676;5003717;-284.00;5004800;-200.00;-8;5062533;-163.00;2211507;-1.00;
;64735171;1;;993;;996;;21;-432778676;5003393;-324.00;5004600;-200.00;-8;5062326;-207.00;2211506;-1.00;
