+-----------------------------------------------------------------------+
| TRACE AXES      type machine: ROBOMAC          no: 513583             |
+-----------------------------------------------------------------------+

Mon Mar 20 14:13:51 2017

Trigger time : 51381751

;Time;interpol;;Eana14;;Eana15;;mode 0;m_pos 0;des_pos 0;des_speed 0;x1r 0;r_speed 0;couple 0;pos_mot 0;mot_speed 0;pos_ext 0;ext_speed 0;
T;51381751;1;;995;;993;;21;-1191925133;5069998;0.00;5070000;0.00;-2;5100282;0.00;6067335;0.00;
;51381752;1;;994;;993;;21;-1191925133;5069987;-11.00;5070000;0.00;-3;5100283;1.00;6067335;0.00;
;51381753;1;;994;;993;;21;-1191925133;5069959;-28.00;5070000;0.00;-3;5100283;0.00;6067335;0.00;
;51381754;1;;995;;994;;21;-1191925133;5069905;-54.00;5070000;0.00;-3;5100282;-1.00;6067335;0.00;
;51381755;1;;995;;993;;21;-1191925133;5069816;-89.00;5070000;0.00;-3;5100282;0.00;6067335;0.00;
;51381756;1;;995;;994;;21;-1191925133;5069685;-131.00;5070000;0.00;-3;5100275;-7.00;6067335;0.00;
;51381757;1;;995;;994;;21;-1191925133;5069505;-180.00;5070000;0.00;-5;5100250;-25.00;6067335;0.00;
;51381758;1;;995;;994;;21;-1191925133;5069268;-237.00;5070000;0.00;-7;5100196;-54.00;6067335;0.00;
;51381759;1;;995;;994;;21;-1191925133;5068967;-301.00;5069600;-400.00;-8;5100097;-99.00;6067333;-2.00;
;51381760;1;;995;;994;;21;-1191925133;5068596;-371.00;5069600;0.00;-10;5099945;-152.00;6067333;0.00;
;51381761;1;;995;;994;;21;-1191925133;5068149;-447.00;5069400;-200.00;-11;5099733;-212.00;6067332;-1.00;
;51381762;1;;995;;994;;21;-1191925133;5067620;-529.00;5069200;-200.00;-13;5099450;-283.00;6067331;-1.00;
;51381763;1;;995;;994;;21;-1191925133;5067003;-617.00;5069000;-200.00;-12;5099099;-351.00;6067330;-1.00;
;51381764;1;;995;;994;;21;-1191925133;5066292;-711.00;5068600;-400.00;-14;5098679;-420.00;6067328;-2.00;
;51381765;1;;995;;994;;21;-1191925133;5065484;-808.00;5068200;-400.00;-15;5098165;-514.00;6067326;-2.00;
;51381766;1;;995;;995;;21;-1191925133;5064573;-911.00;5067400;-800.00;-16;5097548;-617.00;6067322;-4.00;
;51381767;1;;995;;994;;21;-1191925133;5063555;-1018.00;5066800;-600.00;-18;5096815;-733.00;6067319;-3.00;
;51381768;1;;995;;994;;21;-1191925133;5062425;-1130.00;5066200;-600.00;-18;5095963;-852.00;6067316;-3.00;
;51381769;1;;995;;994;;21;-1191925133;5061181;-1244.00;5065200;-1000.00;-18;5094996;-967.00;6067311;-5.00;
;51381770;1;;995;;995;;21;-1191925133;5059819;-1362.00;5064200;-1000.00;-16;5093927;-1069.00;6067306;-5.00;
;51381771;1;;995;;994;;21;-1191925133;5058335;-1484.00;5063000;-1200.00;-17;5092766;-1161.00;6067300;-6.00;
