+-----------------------------------------------------------------------+
| TRACE AXES      type machine: ROBOMAC          no: 513583             |
+-----------------------------------------------------------------------+

Mon Mar 20 14:15:31 2017

Trigger time : 51485736

;Time;interpol;;Eana14;;Eana15;;mode 0;m_pos 0;des_pos 0;des_speed 0;x1r 0;r_speed 0;couple 0;pos_mot 0;mot_speed 0;pos_ext 0;ext_speed 0;
T;51485736;1;;991;;990;;21;-1193865133;5169996;0.00;5170000;0.00;-2;5202748;0.00;6077535;0.00;
;51485737;1;;991;;991;;21;-1193865133;5169975;-21.00;5170000;0.00;-2;5202749;1.00;6077535;0.00;
;51485738;1;;990;;990;;21;-1193865133;5169919;-56.00;5170000;0.00;-2;5202749;0.00;6077535;0.00;
;51485739;1;;990;;991;;21;-1193865133;5169810;-109.00;5170000;0.00;-2;5202747;-2.00;6077535;0.00;
;51485740;1;;990;;992;;21;-1193865133;5169632;-178.00;5170000;0.00;-3;5202745;-2.00;6077535;0.00;
;51485741;1;;990;;991;;21;-1193865133;5169371;-261.00;5170000;0.00;-4;5202732;-13.00;6077535;0.00;
;51485742;1;;991;;991;;21;-1193865133;5169010;-361.00;5170000;0.00;-7;5202682;-50.00;6077535;0.00;
;51485743;1;;992;;990;;21;-1193865133;5168536;-474.00;5170000;0.00;-10;5202567;-115.00;6077535;0.00;
;51485744;1;;992;;990;;21;-1193865133;5167934;-602.00;5169600;-400.00;-14;5202357;-210.00;6077533;-2.00;
;51485745;1;;992;;990;;21;-1193865133;5167193;-741.00;5169400;-200.00;-16;5202040;-317.00;6077532;-1.00;
;51485746;1;;996;;991;;21;-1193865133;5166299;-894.00;5169000;-400.00;-19;5201593;-447.00;6077530;-2.00;
;51485747;1;;997;;991;;21;-1193865133;5165240;-1059.00;5168600;-400.00;-21;5200994;-599.00;6077528;-2.00;
;51485748;1;;998;;991;;21;-1193865133;5164006;-1234.00;5168000;-600.00;-21;5200235;-759.00;6077525;-3.00;
;51485749;1;;999;;990;;21;-1193865133;5162585;-1421.00;5167200;-800.00;-23;5199312;-923.00;6077521;-4.00;
;51485750;1;;999;;991;;21;-1193865133;5160968;-1617.00;5166200;-1000.00;-24;5198210;-1102.00;6077516;-5.00;
;51485751;1;;998;;991;;21;-1193865133;5159146;-1822.00;5164800;-1400.00;-25;5196914;-1296.00;6077509;-7.00;
;51485752;1;;997;;991;;21;-1193865133;5157110;-2036.00;5163400;-1400.00;-26;5195413;-1501.00;6077502;-7.00;
;51485753;1;;997;;990;;21;-1193865133;5154851;-2259.00;5161800;-1600.00;-27;5193708;-1705.00;6077494;-8.00;
;51485754;1;;995;;990;;21;-1193865133;5152363;-2488.00;5159800;-2000.00;-27;5191800;-1908.00;6077484;-10.00;
;51485755;1;;995;;992;;21;-1193865133;5149638;-2725.00;5157800;-2000.00;-27;5189691;-2109.00;6077474;-10.00;
;51485756;1;;996;;993;;21;-1193865133;5146671;-2967.00;5155400;-2400.00;-28;5187372;-2319.00;6077462;-12.00;
;51485757;1;;996;;993;;21;-1193865133;5143455;-3216.00;5153000;-2400.00;-30;5184820;-2552.00;6077450;-12.00;
;51485758;1;;996;;991;;21;-1193865133;5139987;-3468.00;5150200;-2800.00;-30;5182041;-2779.00;6077436;-14.00;
;51485759;1;;996;;990;;21;-1193865133;5136261;-3726.00;5147400;-2800.00;-31;5179031;-3010.00;6077422;-14.00;
;51485760;1;;996;;990;;21;-1193865133;5132274;-3987.00;5144200;-3200.00;-32;5175778;-3253.00;6077406;-16.00;
;51485761;1;;996;;989;;21;-1193865133;5128023;-4251.00;5140600;-3600.00;-33;5172279;-3499.00;6077388;-18.00;
;51485762;1;;996;;989;;21;-1193865133;5123505;-4518.00;5137000;-3600.00;-34;5168516;-3763.00;6077370;-18.00;
