+-----------------------------------------------------------------------+
| TRACE AXES      type machine: ROBOMAC          no: 513583             |
+-----------------------------------------------------------------------+

Wed Mar 22 17:54:53 2017

Trigger time : 64688632

;Time;interpol;;Eana14;;Eana15;;mode 0;m_pos 0;des_pos 0;des_speed 0;x1r 0;r_speed 0;couple 0;pos_mot 0;mot_speed 0;pos_ext 0;ext_speed 0;
T;64688632;1;;997;;993;;21;-432323476;5005199;0.00;5005200;0.00;-1;5063424;0.00;2209233;0.00;
;64688633;1;;997;;992;;21;-432323476;5005195;-4.00;5005200;0.00;-1;5063424;0.00;2209233;0.00;
;64688634;1;;995;;992;;21;-432323476;5005183;-12.00;5005200;0.00;-1;5063424;0.00;2209233;0.00;
;64688635;1;;995;;992;;21;-432323476;5005162;-21.00;5005200;0.00;-1;5063424;0.00;2209233;0.00;
;64688636;1;;995;;992;;21;-432323476;5005126;-36.00;5005200;0.00;-1;5063423;-1.00;2209233;0.00;
;64688637;1;;995;;991;;21;-432323476;5005074;-52.00;5005200;0.00;-2;5063420;-3.00;2209233;0.00;
;64688638;1;;993;;991;;21;-432323476;5005002;-72.00;5005200;0.00;-2;5063412;-8.00;2209233;0.00;
;64688639;1;;993;;990;;21;-432323476;5004907;-95.00;5005200;0.00;-3;5063390;-22.00;2209233;0.00;
;64688640;1;;993;;990;;21;-432323476;5004786;-121.00;5005200;0.00;-4;5063350;-40.00;2209233;0.00;
;64688641;1;;993;;991;;21;-432323476;5004638;-148.00;5005000;-200.00;-4;5063289;-61.00;2209232;-1.00;
;64688642;1;;992;;996;;21;-432323476;5004459;-179.00;5005000;0.00;-5;5063203;-86.00;2209232;0.00;
;64688643;1;;992;;997;;21;-432323476;5004248;-211.00;5005000;0.00;-5;5063088;-115.00;2209232;0.00;
;64688644;1;;992;;997;;21;-432323476;5004001;-247.00;5004800;-200.00;-6;5062943;-145.00;2209231;-1.00;
;64688645;1;;992;;997;;21;-432323476;5003717;-284.00;5004800;0.00;-6;5062772;-171.00;2209231;0.00;
;64688646;1;;992;;997;;21;-432323476;5003393;-324.00;5004600;-200.00;-7;5062573;-199.00;2209230;-1.00;
;64688647;1;;992;;997;;21;-432323476;5003029;-364.00;5004600;0.00;-8;5062330;-243.00;2209230;0.00;
;64688648;1;;992;;997;;21;-432323476;5002622;-407.00;5004000;-600.00;-8;5062039;-291.00;2209227;-3.00;
;64688649;1;;992;;1000;;21;-432323476;5002170;-452.00;5003800;-200.00;-9;5061701;-338.00;2209226;-1.00;
;64688650;1;;992;;1000;;21;-432323476;5001672;-498.00;5003400;-400.00;-9;5061310;-391.00;2209224;-2.00;
;64688651;1;;992;;999;;21;-432323476;5001127;-545.00;5003000;-400.00;-9;5060867;-443.00;2209222;-2.00;
;64688652;1;;992;;1000;;21;-432323476;5000534;-593.00;5002400;-600.00;-7;5060381;-486.00;2209219;-3.00;
;64688653;1;;993;;999;;21;-432323476;4999891;-643.00;5002000;-400.00;-8;5059864;-517.00;2209217;-2.00;
;64688654;1;;993;;1000;;21;-432323476;4999197;-694.00;5001400;-600.00;-8;5059302;-562.00;2209214;-3.00;
;64688655;1;;993;;1000;;21;-432323476;4998452;-745.00;5000800;-600.00;-9;5058690;-612.00;2209211;-3.00;
;64688656;1;;993;;997;;21;-432323476;4997654;-798.00;5000200;-600.00;-8;5058032;-658.00;2209208;-3.00;
;64688657;1;;996;;997;;21;-432323476;4996804;-850.00;4999400;-800.00;-9;5057328;-704.00;2209204;-4.00;
;64688658;1;;996;;997;;21;-432323476;4995901;-903.00;4998800;-600.00;-9;5056569;-759.00;2209201;-3.00;
;64688659;1;;995;;997;;21;-432323476;4994944;-957.00;4998000;-800.00;-10;5055764;-805.00;2209197;-4.00;
;64688660;1;;995;;997;;21;-432323476;4993933;-1011.00;4997000;-1000.00;-10;5054905;-859.00;2209192;-5.00;
;64688661;1;;997;;997;;21;-432323476;4992868;-1065.00;4996200;-800.00;-10;5053995;-910.00;2209188;-4.00;
;64688662;1;;997;;997;;21;-432323476;4991749;-1119.00;4995200;-1000.00;-11;5053030;-965.00;2209183;-5.00;
;64688663;1;;995;;996;;21;-432323476;4990576;-1173.00;4994200;-1000.00;-11;5051999;-1031.00;2209178;-5.00;
;64688664;1;;994;;990;;21;-432323476;4989349;-1227.00;4993200;-1000.00;-10;5050915;-1084.00;2209173;-5.00;
;64688665;1;;994;;990;;21;-432323476;4988070;-1279.00;4992000;-1200.00;-10;5049780;-1135.00;2209167;-6.00;
;64688666;1;;994;;990;;21;-432323476;4986738;-1332.00;4990800;-1200.00;-10;5048591;-1189.00;2209161;-6.00;
;64688667;1;;994;;991;;21;-432323476;4985354;-1384.00;4989600;-1200.00;-10;5047354;-1237.00;2209155;-6.00;
;64688668;1;;994;;991;;21;-432323476;4983919;-1435.00;4988400;-1200.00;-11;5046062;-1292.00;2209149;-6.00;
;64688669;1;;994;;991;;21;-432323476;4982433;-1486.00;4987000;-1400.00;-10;5044719;-1343.00;2209142;-7.00;
;64688670;1;;994;;991;;21;-432323476;4980898;-1535.00;4985600;-1400.00;-10;5043329;-1390.00;2209135;-7.00;
;64688671;1;;996;;992;;21;-432323476;4979315;-1583.00;4984200;-1400.00;-10;5041889;-1440.00;2209128;-7.00;
;64688672;1;;996;;993;;21;-432323476;4977685;-1630.00;4982800;-1400.00;-11;5040389;-1500.00;2209121;-7.00;
;64688673;1;;994;;993;;21;-432323476;4976010;-1675.00;4981200;-1600.00;-10;5038834;-1555.00;2209113;-8.00;
;64688674;1;;994;;994;;21;-432323476;4974291;-1719.00;4979600;-1600.00;-10;5037235;-1599.00;2209105;-8.00;
;64688675;1;;996;;994;;21;-432323476;4972530;-1761.00;4978000;-1600.00;-10;5035595;-1640.00;2209097;-8.00;
;64688676;1;;996;;994;;21;-432323476;4970728;-1802.00;4976200;-1800.00;-10;5033906;-1689.00;2209088;-9.00;
;64688677;1;;995;;993;;21;-432323476;4968887;-1841.00;4974600;-1600.00;-10;5032165;-1741.00;2209080;-8.00;
;64688678;1;;993;;992;;21;-432323476;4967010;-1877.00;4972800;-1800.00;-9;5030385;-1780.00;2209071;-9.00;
;64688679;1;;993;;992;;21;-432323476;4965098;-1912.00;4971000;-1800.00;-9;5028564;-1821.00;2209062;-9.00;
;64688680;1;;993;;992;;21;-432323476;4963155;-1943.00;4969200;-1800.00;-8;5026709;-1855.00;2209053;-9.00;
;64688681;1;;994;;992;;21;-432323476;4961182;-1973.00;4967200;-2000.00;-9;5024820;-1889.00;2209043;-10.00;
;64688682;1;;994;;992;;21;-432323476;4959181;-2001.00;4965400;-1800.00;-8;5022892;-1928.00;2209034;-9.00;
;64688683;1;;994;;994;;21;-432323476;4957156;-2025.00;4963400;-2000.00;-8;5020929;-1963.00;2209024;-10.00;
;64688684;1;;994;;994;;21;-432323476;4955109;-2047.00;4961400;-2000.00;-8;5018937;-1992.00;2209014;-10.00;
;64688685;1;;994;;994;;21;-432323476;4953044;-2065.00;4959400;-2000.00;-7;5016923;-2014.00;2209004;-10.00;
;64688686;1;;994;;994;;21;-432323476;4950962;-2082.00;4957400;-2000.00;-7;5014892;-2031.00;2208994;-10.00;
;64688687;1;;994;;993;;21;-432323476;4948868;-2094.00;4955400;-2000.00;-7;5012835;-2057.00;2208984;-10.00;
;64688688;1;;993;;993;;21;-432323476;4946765;-2103.00;4953400;-2000.00;-7;5010758;-2077.00;2208974;-10.00;
;64688689;1;;992;;993;;21;-432323476;4944655;-2110.00;4951200;-2200.00;-6;5008664;-2094.00;2208963;-11.00;
;64688690;1;;992;;993;;21;-432323476;4942544;-2111.00;4949200;-2000.00;-6;5006554;-2110.00;2208953;-10.00;
;64688691;1;;996;;992;;21;-432323476;4940432;-2112.00;4947000;-2200.00;-6;5004431;-2123.00;2208942;-11.00;
;64688692;1;;995;;992;;21;-432323476;4938320;-2112.00;4945000;-2000.00;-5;5002294;-2137.00;2208932;-10.00;
;64688693;1;;994;;992;;21;-432323476;4936208;-2112.00;4942800;-2200.00;-4;5000157;-2137.00;2208921;-11.00;
;64688694;1;;994;;992;;21;-432323476;4934096;-2112.00;4940600;-2200.00;-4;4998030;-2127.00;2208910;-11.00;
;64688695;1;;997;;991;;21;-432323476;4931984;-2112.00;4938600;-2000.00;-3;4995914;-2116.00;2208900;-10.00;
;64688696;1;;997;;990;;21;-432323476;4929872;-2112.00;4936400;-2200.00;-4;4993808;-2106.00;2208889;-11.00;
;64688697;1;;994;;990;;21;-432323476;4927760;-2112.00;4934400;-2000.00;-4;4991698;-2110.00;2208879;-10.00;
;64688698;1;;994;;991;;21;-432323476;4925648;-2112.00;4932200;-2200.00;-4;4989587;-2111.00;2208868;-11.00;
;64688699;1;;993;;996;;21;-432323476;4923536;-2112.00;4930200;-2000.00;-5;4987475;-2112.00;2208858;-10.00;
;64688700;1;;993;;997;;21;-432323476;4921424;-2112.00;4928000;-2200.00;-4;4985359;-2116.00;2208847;-11.00;
;64688701;1;;993;;997;;21;-432323476;4919312;-2112.00;4926000;-2000.00;-5;4983236;-2123.00;2208837;-10.00;
;64688702;1;;993;;997;;21;-432323476;4917200;-2112.00;4924000;-2000.00;-4;4981111;-2125.00;2208827;-10.00;
;64688703;1;;993;;997;;21;-432323476;4915088;-2112.00;4921800;-2200.00;-5;4978991;-2120.00;2208816;-11.00;
;64688704;1;;993;;997;;21;-432323476;4912976;-2112.00;4919800;-2000.00;-4;4976871;-2120.00;2208806;-10.00;
;64688705;1;;994;;997;;21;-432323476;4910864;-2112.00;4917800;-2000.00;-5;4974749;-2122.00;2208796;-10.00;
;64688706;1;;995;;997;;21;-432323476;4908752;-2112.00;4915600;-2200.00;-6;4972617;-2132.00;2208785;-11.00;
;64688707;1;;996;;997;;21;-432323476;4906640;-2112.00;4913400;-2200.00;-5;4970476;-2141.00;2208774;-11.00;
;64688708;1;;996;;997;;21;-432323476;4904528;-2112.00;4911200;-2200.00;-5;4968337;-2139.00;2208763;-11.00;
;64688709;1;;995;;997;;21;-432323476;4902416;-2112.00;4909200;-2000.00;-5;4966193;-2144.00;2208753;-10.00;
;64688710;1;;994;;996;;21;-432323476;4900304;-2112.00;4907000;-2200.00;-5;4964048;-2145.00;2208742;-11.00;
;64688711;1;;996;;990;;21;-432323476;4898192;-2112.00;4905000;-2000.00;-4;4961911;-2137.00;2208732;-10.00;
;64688712;1;;995;;990;;21;-432323476;4896080;-2112.00;4902800;-2200.00;-4;4959786;-2125.00;2208721;-11.00;
;64688713;1;;992;;991;;21;-432323476;4893968;-2112.00;4900600;-2200.00;-5;4957660;-2126.00;2208710;-11.00;
;64688714;1;;992;;992;;21;-432323476;4891856;-2112.00;4898600;-2000.00;-4;4955525;-2135.00;2208700;-10.00;
;64688715;1;;993;;992;;21;-432323476;4889744;-2112.00;4896400;-2200.00;-5;4953382;-2143.00;2208689;-11.00;
;64688716;1;;993;;992;;21;-432323476;4887632;-2112.00;4894400;-2000.00;-4;4951234;-2148.00;2208679;-10.00;
;64688717;1;;993;;993;;21;-432323476;4885520;-2112.00;4892200;-2200.00;-3;4949098;-2136.00;2208668;-11.00;
;64688718;1;;994;;993;;21;-432323476;4883408;-2112.00;4890200;-2000.00;-4;4946970;-2128.00;2208658;-10.00;
;64688719;1;;993;;992;;21;-432323476;4881296;-2112.00;4888200;-2000.00;-4;4944842;-2128.00;2208648;-10.00;
;64688720;1;;993;;992;;21;-432323476;4879184;-2112.00;4886000;-2200.00;-5;4942714;-2128.00;2208637;-11.00;
;64688721;1;;993;;992;;21;-432323476;4877072;-2112.00;4883800;-2200.00;-4;4940582;-2132.00;2208626;-11.00;
;64688722;1;;993;;993;;21;-432323476;4874960;-2112.00;4881800;-2000.00;-5;4938450;-2132.00;2208616;-10.00;
;64688723;1;;993;;993;;21;-432323476;4872848;-2112.00;4879600;-2200.00;-6;4936307;-2143.00;2208605;-11.00;
;64688724;1;;992;;994;;21;-432323476;4870736;-2112.00;4877600;-2000.00;-5;4934161;-2146.00;2208595;-10.00;
;64688725;1;;995;;993;;21;-432323476;4868624;-2112.00;4875400;-2200.00;-4;4932024;-2137.00;2208584;-11.00;
;64688726;1;;995;;994;;21;-432323476;4866512;-2112.00;4873200;-2200.00;-5;4929894;-2130.00;2208573;-11.00;
;64688727;1;;995;;994;;21;-432323476;4864400;-2112.00;4871200;-2000.00;-5;4927761;-2133.00;2208563;-10.00;
;64688728;1;;994;;994;;21;-432323476;4862288;-2112.00;4869000;-2200.00;-5;4925621;-2140.00;2208552;-11.00;
;64688729;1;;994;;994;;21;-432323476;4860176;-2112.00;4867000;-2000.00;-5;4923476;-2145.00;2208542;-10.00;
;64688730;1;;993;;994;;21;-432323476;4858064;-2112.00;4864800;-2200.00;-4;4921334;-2142.00;2208531;-11.00;
;64688731;1;;993;;995;;21;-432323476;4855952;-2112.00;4862600;-2200.00;-4;4919198;-2136.00;2208520;-11.00;
;64688732;1;;993;;995;;21;-432323476;4853840;-2112.00;4860600;-2000.00;-4;4917063;-2135.00;2208510;-10.00;
;64688733;1;;993;;995;;21;-432323476;4851728;-2112.00;4858400;-2200.00;-5;4914930;-2133.00;2208499;-11.00;
;64688734;1;;993;;994;;21;-432323476;4849616;-2112.00;4856400;-2000.00;-5;4912796;-2134.00;2208489;-10.00;
;64688735;1;;993;;994;;21;-432323476;4847504;-2112.00;4854200;-2200.00;-4;4910669;-2127.00;2208478;-11.00;
;64688736;1;;992;;994;;21;-432323476;4845392;-2112.00;4852200;-2000.00;-5;4908547;-2122.00;2208468;-10.00;
;64688737;1;;992;;994;;21;-432323476;4843280;-2112.00;4850000;-2200.00;-5;4906417;-2130.00;2208457;-11.00;
;64688738;1;;992;;994;;21;-432323476;4841168;-2112.00;4847800;-2200.00;-5;4904284;-2133.00;2208446;-11.00;
;64688739;1;;992;;994;;21;-432323476;4839056;-2112.00;4845800;-2000.00;-5;4902146;-2138.00;2208436;-10.00;
;64688740;1;;992;;994;;21;-432323476;4836944;-2112.00;4843600;-2200.00;-5;4900004;-2142.00;2208425;-11.00;
;64688741;1;;993;;994;;21;-432323476;4834832;-2112.00;4841600;-2000.00;-4;4897858;-2146.00;2208415;-10.00;
;64688742;1;;993;;993;;21;-432323476;4832720;-2112.00;4839400;-2200.00;-4;4895718;-2140.00;2208404;-11.00;
;64688743;1;;993;;993;;21;-432323476;4830608;-2112.00;4837200;-2200.00;-4;4893587;-2131.00;2208393;-11.00;
;64688744;1;;993;;993;;21;-432323476;4828496;-2112.00;4835200;-2000.00;-4;4891454;-2133.00;2208383;-10.00;
;64688745;1;;994;;993;;21;-432323476;4826384;-2112.00;4833000;-2200.00;-5;4889319;-2135.00;2208372;-11.00;
;64688746;1;;994;;993;;21;-432323476;4824272;-2112.00;4831000;-2000.00;-4;4887179;-2140.00;2208362;-10.00;
;64688747;1;;994;;992;;21;-432323476;4822160;-2112.00;4828800;-2200.00;-4;4885046;-2133.00;2208351;-11.00;
;64688748;1;;993;;992;;21;-432323476;4820048;-2112.00;4826600;-2200.00;-4;4882921;-2125.00;2208340;-11.00;
;64688749;1;;994;;992;;21;-432323476;4817936;-2112.00;4824600;-2000.00;-4;4880793;-2128.00;2208330;-10.00;
