+-----------------------------------------------------------------------+
| TRACE AXES      type machine: ROBOMAC          no: 513583             |
+-----------------------------------------------------------------------+

Mon Mar 20 14:12:28 2017

Trigger time : 51298241

;Time;interpol;;Eana14;;Eana15;;mode 0;m_pos 0;des_pos 0;des_speed 0;x1r 0;r_speed 0;couple 0;pos_mot 0;mot_speed 0;pos_ext 0;ext_speed 0;
T;51298241;0;;993;;990;;21;-1189985133;5069999;0.00;5070000;0.00;-4;5112753;0.00;6057635;0.00;
;51298242;0;;993;;992;;21;-1189985133;5069997;-2.00;5070000;0.00;-3;5112752;-1.00;6057635;0.00;
;51298243;0;;993;;994;;21;-1189985133;5069991;-6.00;5070000;0.00;-4;5112753;1.00;6057635;0.00;
;51298244;0;;993;;994;;21;-1189985133;5069981;-10.00;5070000;0.00;-4;5112753;0.00;6057635;0.00;
;51298245;0;;992;;990;;21;-1189985133;5069963;-18.00;5070000;0.00;-4;5112752;-1.00;6057635;0.00;
;51298246;0;;992;;990;;21;-1189985133;5069937;-26.00;5070000;0.00;-4;5112751;-1.00;6057635;0.00;
;51298247;0;;993;;989;;21;-1189985133;5069901;-36.00;5070000;0.00;-4;5112748;-3.00;6057635;0.00;
;51298248;0;;993;;991;;21;-1189985133;5069853;-48.00;5070000;0.00;-4;5112740;-8.00;6057635;0.00;
;51298249;0;;993;;993;;21;-1189985133;5069793;-60.00;5070000;0.00;-5;5112721;-19.00;6057635;0.00;
;51298250;0;;993;;993;;21;-1189985133;5069719;-74.00;5070000;0.00;-5;5112693;-28.00;6057635;0.00;
;51298251;0;;993;;993;;21;-1189985133;5069629;-90.00;5070000;0.00;-6;5112656;-37.00;6057635;0.00;
;51298252;0;;990;;993;;21;-1189985133;5069524;-105.00;5069600;-400.00;-6;5112604;-52.00;6057633;-2.00;
;51298253;0;;988;;993;;21;-1189985133;5069400;-124.00;5069600;0.00;-6;5112536;-68.00;6057633;0.00;
;51298254;0;;988;;993;;21;-1189985133;5069258;-142.00;5069400;-200.00;-7;5112451;-85.00;6057632;-1.00;
