+-----------------------------------------------------------------------+
| TRACE AXES      type machine: ROBOMAC          no: 513583             |
+-----------------------------------------------------------------------+

Wed Mar 22 17:53:45 2017

Trigger time : 64622437

;Time;interpol;;Eana14;;Eana15;;mode 0;m_pos 0;des_pos 0;des_speed 0;x1r 0;r_speed 0;couple 0;pos_mot 0;mot_speed 0;pos_ext 0;ext_speed 0;
T;64622437;1;;992;;990;;21;-431868276;5005199;0.00;5005200;0.00;-1;5063907;0.00;2206957;0.00;
;64622438;1;;992;;990;;21;-431868276;5005195;-4.00;5005200;0.00;-1;5063906;-1.00;2206957;0.00;
;64622439;1;;992;;990;;21;-431868276;5005183;-12.00;5005200;0.00;-1;5063907;1.00;2206957;0.00;
;64622440;1;;994;;990;;21;-431868276;5005162;-21.00;5005200;0.00;-1;5063906;-1.00;2206957;0.00;
;64622441;1;;994;;990;;21;-431868276;5005126;-36.00;5005200;0.00;-1;5063906;0.00;2206957;0.00;
;64622442;1;;994;;990;;21;-431868276;5005074;-52.00;5005200;0.00;-2;5063905;-1.00;2206957;0.00;
;64622443;1;;992;;990;;21;-431868276;5005002;-72.00;5005200;0.00;-2;5063896;-9.00;2206957;0.00;
;64622444;1;;992;;990;;21;-431868276;5004907;-95.00;5005200;0.00;-3;5063874;-22.00;2206957;0.00;
;64622445;1;;992;;990;;21;-431868276;5004786;-121.00;5005200;0.00;-4;5063836;-38.00;2206957;0.00;
;64622446;1;;991;;996;;21;-431868276;5004638;-148.00;5005000;-200.00;-4;5063777;-59.00;2206956;-1.00;
;64622447;1;;991;;996;;21;-431868276;5004459;-179.00;5005000;0.00;-5;5063693;-84.00;2206956;0.00;
;64622448;1;;991;;996;;21;-431868276;5004248;-211.00;5005000;0.00;-6;5063584;-109.00;2206956;0.00;
;64622449;1;;991;;996;;21;-431868276;5004001;-247.00;5004800;-200.00;-6;5063442;-142.00;2206955;-1.00;
;64622450;1;;991;;996;;21;-431868276;5003717;-284.00;5004800;0.00;-6;5063272;-170.00;2206955;0.00;
;64622451;1;;991;;997;;21;-431868276;5003393;-324.00;5004800;0.00;-7;5063078;-194.00;2206955;0.00;
;64622452;1;;990;;997;;21;-431868276;5003029;-364.00;5004400;-400.00;-8;5062838;-240.00;2206953;-2.00;
;64622453;1;;991;;996;;21;-431868276;5002622;-407.00;5004000;-400.00;-8;5062552;-286.00;2206951;-2.00;
;64622454;1;;991;;996;;21;-431868276;5002170;-452.00;5003800;-200.00;-9;5062216;-336.00;2206950;-1.00;
;64622455;1;;991;;996;;21;-431868276;5001672;-498.00;5003400;-400.00;-10;5061819;-397.00;2206948;-2.00;
;64622456;1;;991;;996;;21;-431868276;5001127;-545.00;5003000;-400.00;-8;5061370;-449.00;2206946;-2.00;
;64622457;1;;992;;996;;21;-431868276;5000534;-593.00;5002400;-600.00;-7;5060890;-480.00;2206943;-3.00;
;64622458;1;;992;;996;;21;-431868276;4999891;-643.00;5002000;-400.00;-8;5060377;-513.00;2206941;-2.00;
;64622459;1;;992;;991;;21;-431868276;4999197;-694.00;5001400;-600.00;-8;5059813;-564.00;2206938;-3.00;
;64622460;1;;993;;990;;21;-431868276;4998452;-745.00;5000800;-600.00;-9;5059197;-616.00;2206935;-3.00;
;64622461;1;;993;;990;;21;-431868276;4997654;-798.00;5000200;-600.00;-8;5058533;-664.00;2206932;-3.00;
;64622462;1;;994;;990;;21;-431868276;4996804;-850.00;4999400;-800.00;-9;5057825;-708.00;2206928;-4.00;
;64622463;1;;995;;990;;21;-431868276;4995901;-903.00;4998800;-600.00;-9;5057067;-758.00;2206925;-3.00;
;64622464;1;;996;;990;;21;-431868276;4994944;-957.00;4998000;-800.00;-9;5056262;-805.00;2206921;-4.00;
;64622465;1;;992;;990;;21;-431868276;4993933;-1011.00;4997000;-1000.00;-10;5055402;-860.00;2206916;-5.00;
;64622466;1;;992;;991;;21;-431868276;4992868;-1065.00;4996200;-800.00;-9;5054491;-911.00;2206912;-4.00;
;64622467;1;;992;;991;;21;-431868276;4991749;-1119.00;4995200;-1000.00;-10;5053524;-967.00;2206907;-5.00;
;64622468;1;;992;;992;;21;-431868276;4990576;-1173.00;4994200;-1000.00;-10;5052490;-1034.00;2206902;-5.00;
;64622469;1;;992;;992;;21;-431868276;4989349;-1227.00;4993200;-1000.00;-9;5051401;-1089.00;2206897;-5.00;
;64622470;1;;991;;992;;21;-431868276;4988070;-1279.00;4992000;-1200.00;-10;5050264;-1137.00;2206891;-6.00;
;64622471;1;;991;;992;;21;-431868276;4986738;-1332.00;4990800;-1200.00;-9;5049072;-1192.00;2206885;-6.00;
;64622472;1;;995;;991;;21;-431868276;4985354;-1384.00;4989600;-1200.00;-9;5047831;-1241.00;2206879;-6.00;
;64622473;1;;995;;991;;21;-431868276;4983919;-1435.00;4988400;-1200.00;-10;5046536;-1295.00;2206873;-6.00;
;64622474;1;;994;;991;;21;-431868276;4982433;-1486.00;4987000;-1400.00;-10;5045188;-1348.00;2206866;-7.00;
;64622475;1;;993;;991;;21;-431868276;4980898;-1535.00;4985600;-1400.00;-9;5043796;-1392.00;2206859;-7.00;
;64622476;1;;993;;991;;21;-431868276;4979315;-1583.00;4984200;-1400.00;-10;5042358;-1438.00;2206852;-7.00;
;64622477;1;;993;;991;;21;-431868276;4977685;-1630.00;4982600;-1600.00;-10;5040863;-1495.00;2206844;-8.00;
;64622478;1;;991;;991;;21;-431868276;4976010;-1675.00;4981200;-1400.00;-10;5039311;-1552.00;2206837;-7.00;
;64622479;1;;991;;991;;21;-431868276;4974291;-1719.00;4979600;-1600.00;-10;5037711;-1600.00;2206829;-8.00;
;64622480;1;;991;;992;;21;-431868276;4972530;-1761.00;4978000;-1600.00;-9;5036065;-1646.00;2206821;-8.00;
;64622481;1;;994;;992;;21;-431868276;4970728;-1802.00;4976200;-1800.00;-9;5034380;-1685.00;2206812;-9.00;
;64622482;1;;993;;992;;21;-431868276;4968887;-1841.00;4974600;-1600.00;-9;5032654;-1726.00;2206804;-8.00;
;64622483;1;;993;;991;;21;-431868276;4967010;-1877.00;4972800;-1800.00;-9;5030876;-1778.00;2206795;-9.00;
;64622484;1;;993;;991;;21;-431868276;4965098;-1912.00;4971000;-1800.00;-9;5029052;-1824.00;2206786;-9.00;
;64622485;1;;993;;992;;21;-431868276;4963155;-1943.00;4969200;-1800.00;-8;5027191;-1861.00;2206777;-9.00;
;64622486;1;;993;;993;;21;-431868276;4961182;-1973.00;4967200;-2000.00;-8;5025298;-1893.00;2206767;-10.00;
;64622487;1;;992;;993;;21;-431868276;4959181;-2001.00;4965400;-1800.00;-8;5023370;-1928.00;2206758;-9.00;
;64622488;1;;992;;991;;21;-431868276;4957156;-2025.00;4963400;-2000.00;-8;5021410;-1960.00;2206748;-10.00;
;64622489;1;;992;;991;;21;-431868276;4955109;-2047.00;4961400;-2000.00;-8;5019420;-1990.00;2206738;-10.00;
;64622490;1;;992;;989;;21;-431868276;4953044;-2065.00;4959400;-2000.00;-7;5017404;-2016.00;2206728;-10.00;
;64622491;1;;993;;989;;21;-431868276;4950962;-2082.00;4957400;-2000.00;-7;5015369;-2035.00;2206718;-10.00;
;64622492;1;;993;;989;;21;-431868276;4948868;-2094.00;4955400;-2000.00;-6;5013309;-2060.00;2206708;-10.00;
;64622493;1;;993;;992;;21;-431868276;4946765;-2103.00;4953200;-2200.00;-6;5011231;-2078.00;2206697;-11.00;
;64622494;1;;993;;992;;21;-431868276;4944655;-2110.00;4951200;-2000.00;-6;5009139;-2092.00;2206687;-10.00;
;64622495;1;;993;;992;;21;-431868276;4942544;-2111.00;4949000;-2200.00;-6;5007033;-2106.00;2206676;-11.00;
;64622496;1;;993;;991;;21;-431868276;4940432;-2112.00;4947000;-2000.00;-5;5004916;-2117.00;2206666;-10.00;
;64622497;1;;993;;992;;21;-431868276;4938320;-2112.00;4944800;-2200.00;-4;5002796;-2120.00;2206655;-11.00;
;64622498;1;;991;;992;;21;-431868276;4936208;-2112.00;4942800;-2000.00;-4;5000679;-2117.00;2206645;-10.00;
;64622499;1;;991;;992;;21;-431868276;4934096;-2112.00;4940600;-2200.00;-4;4998564;-2115.00;2206634;-11.00;
;64622500;1;;991;;992;;21;-431868276;4931984;-2112.00;4938600;-2000.00;-4;4996454;-2110.00;2206624;-10.00;
;64622501;1;;991;;992;;21;-431868276;4929872;-2112.00;4936400;-2200.00;-4;4994343;-2111.00;2206613;-11.00;
;64622502;1;;991;;992;;21;-431868276;4927760;-2112.00;4934400;-2000.00;-4;4992233;-2110.00;2206603;-10.00;
;64622503;1;;992;;992;;21;-431868276;4925648;-2112.00;4932200;-2200.00;-4;4990110;-2123.00;2206592;-11.00;
