+-----------------------------------------------------------------------+
| TRACE AXES      type machine: ROBOMAC          no: 513583             |
+-----------------------------------------------------------------------+

Wed Mar 22 17:56:15 2017

Trigger time : 64775275

;Time;interpol;;Eana14;;Eana15;;mode 0;m_pos 0;des_pos 0;des_speed 0;x1r 0;r_speed 0;couple 0;pos_mot 0;mot_speed 0;pos_ext 0;ext_speed 0;
;64775323;1;;996;;992;;21;-433689076;4963155;-1943.00;4969200;-1800.00;-9;5027453;-1846.00;2215881;-9.00;
;64775324;1;;995;;992;;21;-433689076;4961182;-1973.00;4967400;-1800.00;-9;5025553;-1900.00;2215872;-9.00;
;64775325;1;;995;;992;;21;-433689076;4959181;-2001.00;4965400;-2000.00;-8;5023611;-1942.00;2215862;-10.00;
;64775326;1;;995;;992;;21;-433689076;4957156;-2025.00;4963400;-2000.00;-7;5021645;-1966.00;2215852;-10.00;
;64775327;1;;995;;992;;21;-433689076;4955109;-2047.00;4961400;-2000.00;-7;5019658;-1987.00;2215842;-10.00;
;64775328;1;;995;;992;;21;-433689076;4953044;-2065.00;4959400;-2000.00;-7;5017644;-2014.00;2215832;-10.00;
;64775329;1;;993;;990;;21;-433689076;4950962;-2082.00;4957400;-2000.00;-6;5015602;-2042.00;2215822;-10.00;
;64775330;1;;993;;990;;21;-433689076;4948868;-2094.00;4955400;-2000.00;-6;5013538;-2064.00;2215812;-10.00;
;64775331;1;;992;;990;;21;-433689076;4946765;-2103.00;4953400;-2000.00;-5;5011457;-2081.00;2215802;-10.00;
;64775332;1;;992;;990;;21;-433689076;4944655;-2110.00;4951200;-2200.00;-5;5009362;-2095.00;2215791;-11.00;
;64775333;1;;996;;990;;21;-433689076;4942544;-2111.00;4949200;-2000.00;-5;5007256;-2106.00;2215781;-10.00;
;64775334;1;;996;;990;;21;-433689076;4940432;-2112.00;4947000;-2200.00;-5;5005135;-2121.00;2215770;-11.00;
;64775335;1;;996;;990;;21;-433689076;4938320;-2112.00;4945000;-2000.00;-5;5003006;-2129.00;2215760;-10.00;
;64775336;1;;995;;991;;21;-433689076;4936208;-2112.00;4943000;-2000.00;-4;5000879;-2127.00;2215750;-10.00;
;64775337;1;;994;;991;;21;-433689076;4934096;-2112.00;4940800;-2200.00;-4;4998758;-2121.00;2215739;-11.00;
;64775338;1;;994;;991;;21;-433689076;4931984;-2112.00;4938600;-2200.00;-3;4996640;-2118.00;2215728;-11.00;
;64775339;1;;993;;991;;21;-433689076;4929872;-2112.00;4936600;-2000.00;-4;4994527;-2113.00;2215718;-10.00;
;64775340;1;;993;;991;;21;-433689076;4927760;-2112.00;4934600;-2000.00;-4;4992405;-2122.00;2215708;-10.00;
;64775341;1;;993;;990;;21;-433689076;4925648;-2112.00;4932400;-2200.00;-4;4990275;-2130.00;2215697;-11.00;
;64775342;1;;993;;990;;21;-433689076;4923536;-2112.00;4930400;-2000.00;-3;4988149;-2126.00;2215687;-10.00;
;64775343;1;;994;;990;;21;-433689076;4921424;-2112.00;4928200;-2200.00;-4;4986027;-2122.00;2215676;-11.00;
;64775344;1;;994;;990;;21;-433689076;4919312;-2112.00;4926200;-2000.00;-4;4983900;-2127.00;2215666;-10.00;
;64775345;1;;995;;990;;21;-433689076;4917200;-2112.00;4924200;-2000.00;-4;4981772;-2128.00;2215656;-10.00;
;64775346;1;;996;;990;;21;-433689076;4915088;-2112.00;4922000;-2200.00;-4;4979644;-2128.00;2215645;-11.00;
;64775347;1;;996;;990;;21;-433689076;4912976;-2112.00;4919800;-2200.00;-4;4977513;-2131.00;2215634;-11.00;
;64775348;1;;992;;990;;21;-433689076;4910864;-2112.00;4917800;-2000.00;-4;4975378;-2135.00;2215624;-10.00;
;64775349;1;;992;;990;;21;-433689076;4908752;-2112.00;4915600;-2200.00;-5;4973236;-2142.00;2215613;-11.00;
;64775350;1;;993;;990;;21;-433689076;4906640;-2112.00;4913400;-2200.00;-4;4971087;-2149.00;2215602;-11.00;
;64775351;1;;993;;991;;21;-433689076;4904528;-2112.00;4911400;-2000.00;-3;4968948;-2139.00;2215592;-10.00;
;64775352;1;;994;;991;;21;-433689076;4902416;-2112.00;4909200;-2200.00;-4;4966810;-2138.00;2215581;-11.00;
;64775353;1;;994;;992;;21;-433689076;4900304;-2112.00;4907000;-2200.00;-4;4964671;-2139.00;2215570;-11.00;
;64775354;1;;994;;992;;21;-433689076;4898192;-2112.00;4905000;-2000.00;-3;4962536;-2135.00;2215560;-10.00;
;64775355;1;;995;;991;;21;-433689076;4896080;-2112.00;4902800;-2200.00;-4;4960401;-2135.00;2215549;-11.00;
;64775356;1;;995;;991;;21;-433689076;4893968;-2112.00;4900800;-2000.00;-4;4958259;-2142.00;2215539;-10.00;
;64775357;1;;995;;991;;21;-433689076;4891856;-2112.00;4898600;-2200.00;-3;4956124;-2135.00;2215528;-11.00;
;64775358;1;;994;;992;;21;-433689076;4889744;-2112.00;4896600;-2000.00;-4;4953994;-2130.00;2215518;-10.00;
;64775359;1;;995;;993;;21;-433689076;4887632;-2112.00;4894400;-2200.00;-4;4951862;-2132.00;2215507;-11.00;
;64775360;1;;993;;993;;21;-433689076;4885520;-2112.00;4892400;-2000.00;-4;4949730;-2132.00;2215497;-10.00;
;64775361;1;;993;;992;;21;-433689076;4883408;-2112.00;4890200;-2200.00;-4;4947594;-2136.00;2215486;-11.00;
;64775362;1;;993;;993;;21;-433689076;4881296;-2112.00;4888000;-2200.00;-4;4945454;-2140.00;2215475;-11.00;
;64775363;1;;992;;993;;21;-433689076;4879184;-2112.00;4886000;-2000.00;-4;4943312;-2142.00;2215465;-10.00;
;64775364;1;;993;;993;;21;-433689076;4877072;-2112.00;4883800;-2200.00;-4;4941165;-2147.00;2215454;-11.00;
;64775365;1;;994;;993;;21;-433689076;4874960;-2112.00;4881600;-2200.00;-4;4939017;-2148.00;2215443;-11.00;
